Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Science,Yes,5,3,No,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Any language,Yes,3,3,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Mathematics,No,3,2,Yes,No,No,No,No,3,Academics
Yes,Yes,Yes,Any language,Yes,2,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,No,3,2,No,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,No,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,History/Geography,No,2,2,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,Yes,Yes,Yes,Maybe,4,Academics
Yes,Yes,Yes,Mathematics,Yes,3,3,No,Yes,No,Yes,No,2,Academics
Yes,Yes,Yes,History/Geography,No,4,4,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,3,3,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,Maybe,2,Academics
Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,1,3,Yes,No,No,No,No,3,Academics
Yes,Yes,Yes,History/Geography,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,3,Academics
Yes,Yes,Yes,Mathematics,No,1,4,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,2,2,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Any language,Yes,2,3,Yes,No,No,No,No,2,Academics
Yes,Yes,Yes,History/Geography,Yes,2,5,No,Yes,No,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,3,4,No,No,No,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,Yes,Yes,No,No,2,Academics
Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,No,4,2,Yes,No,Yes,No,No,3,Academics
Yes,Yes,Yes,Any language,Yes,4,1,Yes,No,No,Yes,Maybe,1,Academics
Yes,Yes,Yes,Science,Yes,3,5,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,Maybe,1,Academics
Yes,Yes,Yes,Science,Yes,3,2,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,5,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,No,No,1,Academics
Yes,Yes,No,Mathematics,No,4,3,Yes,No,No,Yes,No,2,Academics
Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,No,3,1,No,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,3,Academics
Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Any language,No,4,2,Yes,No,No,Yes,No,2,Academics
Yes,Yes,Yes,Science,No,2,2,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,1,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,Yes,No,5,Academics
Yes,Yes,Yes,Mathematics,Yes,1,2,No,No,No,Yes,No,1,Academics
Yes,Yes,Yes,History/Geography,Yes,4,4,Yes,No,No,No,No,5,Academics
Yes,Yes,Yes,Mathematics,No,3,1,No,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,No,4,3,Yes,No,No,No,No,3,Academics
Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,3,Academics
Yes,Yes,Yes,Science,No,3,1,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,No,2,3,No,No,No,No,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,3,2,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,3,1,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,No,4,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Science,Yes,4,4,Yes,No,No,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,3,1,No,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,No,5,1,No,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,No,5,3,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,Yes,No,2,Academics
Yes,Yes,Yes,Any language,No,4,3,No,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,3,2,No,No,No,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,4,3,No,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,4,3,No,Yes,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Mathematics,Yes,2,3,No,Yes,Yes,No,No,2,Academics
Yes,Yes,Yes,History/Geography,Yes,4,5,No,Yes,No,No,Maybe,3,Academics
Yes,Yes,Yes,History/Geography,No,4,2,Yes,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Science,No,3,5,No,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,3,Yes,No,No,No,No,3,Academics
Yes,Yes,Yes,Mathematics,No,4,3,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,No,2,Academics
Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
Yes,Yes,Yes,History/Geography,Yes,3,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,1,2,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,2,2,No,No,No,Yes,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,Yes,5,3,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,History/Geography,No,4,2,No,No,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Any language,Yes,5,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,Yes,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Any language,Yes,5,2,Yes,Yes,Yes,No,No,2,Academics
Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,3,Academics
Yes,Yes,Yes,Any language,Yes,3,1,Yes,Yes,Yes,Yes,Maybe,2,Academics
Yes,Yes,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,Yes,2,Academics
Yes,Yes,Yes,Science,No,4,3,No,No,No,Yes,Maybe,3,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,4,1,Yes,Yes,Yes,Yes,Maybe,2,Academics
Yes,Yes,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,5,5,Yes,Yes,Yes,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
Yes,Yes,Yes,Any language,Yes,3,3,Yes,Yes,No,No,Yes,2,Academics
Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Any language,No,4,2,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,3,2,Yes,No,No,No,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,4,4,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,No,3,1,No,No,No,No,No,1,Academics
Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,Yes,1,Academics
Yes,Yes,Yes,Science,No,3,1,No,No,Yes,No,Yes,1,Academics
Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,Maybe,1,Academics
Yes,Yes,No,Any language,No,4,2,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Science,No,2,2,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,2,3,No,No,Yes,No,No,3,Academics
Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,No,2,Academics
Yes,Yes,Yes,History/Geography,Yes,5,4,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Mathematics,No,3,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Any language,Yes,2,3,No,No,No,No,Maybe,2,Academics
Yes,Yes,Yes,Science,No,3,1,Yes,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Science,Yes,2,3,Yes,No,No,Yes,Yes,3,Academics
Yes,No,Yes,Mathematics,No,3,3,No,No,No,No,Maybe,2,Academics
Yes,Yes,No,Mathematics,No,5,4,No,Yes,Yes,No,No,3,Academics
Yes,No,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
Yes,Yes,Yes,Any language,No,2,3,Yes,No,No,Yes,Maybe,2,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
Yes,No,Yes,Mathematics,No,3,3,Yes,Yes,No,Yes,No,3,Academics
Yes,No,Yes,Science,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Mathematics,Yes,2,5,Yes,Yes,No,No,Yes,1,Academics
Yes,No,Yes,Mathematics,Yes,2,2,Yes,Yes,No,Yes,No,2,Academics
Yes,No,Yes,Mathematics,No,3,5,No,No,No,No,Maybe,1,Academics
Yes,No,No,Any language,No,4,2,Yes,No,Yes,No,Yes,1,Academics
Yes,Yes,Yes,Mathematics,No,3,5,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,Yes,1,Academics
Yes,No,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Mathematics,Yes,3,3,Yes,No,Yes,No,Yes,2,Academics
Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,No,No,Any language,No,4,2,Yes,No,Yes,Yes,Maybe,3,Academics
Yes,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,No,History/Geography,No,4,3,No,No,No,No,Maybe,3,Academics
Yes,Yes,Yes,Science,Yes,5,6,Yes,No,No,No,No,2,Academics
Yes,No,Yes,Any language,Yes,4,2,Yes,No,Yes,No,Yes,2,Academics
Yes,No,Yes,Science,Yes,4,3,No,No,Yes,Yes,Maybe,2,Academics
Yes,Yes,Yes,Science,No,3,2,No,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Science,No,4,4,Yes,No,Yes,Yes,No,1,Academics
Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,Yes,No,2,Academics
Yes,No,Yes,Any language,Yes,2,4,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,Yes,1,Academics
Yes,Yes,No,Science,No,4,3,No,No,Yes,No,No,3,Academics
Yes,No,Yes,Mathematics,Yes,1,6,Yes,No,No,No,Yes,4,Academics
Yes,No,No,Mathematics,No,2,2,No,Yes,No,Yes,No,1,Academics
Yes,No,Yes,Mathematics,No,1,4,No,No,No,No,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,2,2,Yes,No,Yes,No,No,2,Academics
Yes,Yes,No,History/Geography,No,5,3,No,No,No,No,Maybe,2,Academics
Yes,Yes,No,Mathematics,No,4,3,No,Yes,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Any language,Yes,2,6,Yes,No,No,No,No,2,Academics
Yes,No,Yes,Mathematics,Yes,3,4,No,No,No,No,Yes,1,Academics
Yes,Yes,No,Science,No,2,2,No,Yes,No,Yes,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,1,Academics
Yes,No,No,Any language,Yes,5,1,No,Yes,No,Yes,Yes,1,Academics
Yes,Yes,No,Science,No,5,3,Yes,Yes,Yes,Yes,Maybe,1,Academics
Yes,No,Yes,Any language,No,4,2,Yes,No,Yes,No,No,3,Academics
Yes,No,Yes,Any language,Yes,4,1,Yes,No,No,Yes,Maybe,1,Academics
Yes,No,Yes,Science,Yes,3,5,Yes,No,Yes,No,Yes,2,Academics
Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,Yes,Maybe,1,Academics
Yes,No,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Any language,Yes,3,3,Yes,Yes,Yes,No,Yes,2,Academics
Yes,No,Yes,Science,Yes,4,1,Yes,No,No,No,No,1,Academics
Yes,No,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Science,Yes,3,5,No,No,Yes,No,Yes,2,Academics
Yes,Yes,Yes,Mathematics,No,4,2,No,No,No,Yes,Maybe,3,Academics
Yes,No,Yes,Science,Yes,3,2,Yes,No,Yes,No,No,1,Academics
Yes,No,Yes,Science,Yes,4,5,Yes,No,Yes,Yes,No,2,Academics
Yes,No,Yes,Any language,Yes,5,3,No,No,Yes,Yes,Maybe,1,Academics
Yes,No,Yes,Mathematics,No,4,3,Yes,No,No,Yes,No,2,Academics
Yes,No,Yes,Science,Yes,4,1,Yes,No,Yes,Yes,No,1,Academics
Yes,No,Yes,Mathematics,Yes,4,4,Yes,No,Yes,Yes,No,1,Academics
Yes,No,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
Yes,No,Yes,Mathematics,No,4,1,No,No,Yes,No,No,2,Academics
Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,No,Yes,Science,No,4,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,Maybe,1,Academics
Yes,No,Yes,Mathematics,No,4,2,No,No,No,Yes,No,2,Academics
Yes,No,Yes,Any language,Yes,2,2,Yes,No,Yes,No,Yes,1,Academics
No,No,Yes,Mathematics,Yes,4,1,No,No,No,No,No,2,Academics
Yes,No,Yes,Mathematics,Yes,4,2,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,1,No,No,No,Yes,No,1,Academics
Yes,No,Yes,Any language,Yes,4,3,Yes,No,Yes,No,Yes,2,Academics
No,No,Yes,Any language,Yes,5,2,Yes,No,Yes,No,Yes,1,Academics
Yes,No,Yes,Any language,Yes,2,2,Yes,No,Yes,No,Yes,2,Academics
Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
No,No,Yes,Mathematics,No,4,1,No,No,Yes,Yes,No,2,Academics
Yes,Yes,No,History/Geography,No,3,2,Yes,No,Yes,No,No,1,Academics
No,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,2,Academics
Yes,No,Yes,Science,Yes,5,4,No,No,No,No,Maybe,1,Academics
No,Yes,Yes,Any language,No,2,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Mathematics,No,4,2,No,No,No,Yes,No,2,Academics
Yes,Yes,Yes,Science,No,4,3,Yes,No,No,Yes,Maybe,1,Academics
No,No,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,Science,Yes,2,2,No,No,Yes,No,No,1,Academics
Yes,No,Yes,Mathematics,Yes,4,4,No,Yes,No,No,No,1,Academics
No,No,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,3,4,No,No,No,Yes,Maybe,1,Academics
No,Yes,Yes,Science,No,3,1,No,No,No,No,No,1,Academics
Yes,No,Yes,History/Geography,No,4,4,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Science,No,4,3,No,No,Yes,No,Maybe,2,Academics
No,No,Yes,Science,Yes,4,2,No,No,Yes,No,No,1,Academics
No,No,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,2,Academics
No,No,Yes,Science,No,4,4,No,No,No,Yes,Maybe,1,Academics
No,No,No,Any language,No,4,2,No,No,Yes,No,No,2,Academics
No,No,Yes,Science,No,4,2,Yes,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Mathematics,No,4,6,Yes,No,Yes,Yes,No,2,Academics
Yes,No,Yes,Mathematics,Yes,3,4,No,No,Yes,Yes,No,1,Academics
Yes,No,Yes,Mathematics,Yes,4,3,Yes,No,Yes,Yes,Yes,2,Academics
Yes,No,Yes,Science,Yes,3,5,Yes,Yes,No,No,No,2,Academics
Yes,No,Yes,Science,Yes,4,6,No,No,Yes,Yes,Yes,3,Academics
Yes,Yes,Yes,Science,No,4,3,Yes,No,No,No,Maybe,4,Academics
Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Science,No,5,3,No,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,3,Academics
No,No,Yes,Mathematics,No,3,4,Yes,No,No,Yes,Maybe,1,Academics
No,No,No,Any language,No,4,2,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,Yes,Mathematics,Yes,4,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Mathematics,No,3,2,Yes,No,No,No,No,3,Academics
Yes,No,Yes,Mathematics,Yes,3,6,No,Yes,No,Yes,No,1,Academics
No,No,Yes,History/Geography,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,4,4,Yes,No,Yes,Yes,No,1,Academics
No,Yes,Yes,Science,No,3,1,No,No,Yes,No,No,2,Academics
Yes,No,Yes,History/Geography,No,4,1,No,No,No,No,No,2,Academics
Yes,No,Yes,Science,Yes,3,1,No,No,Yes,No,Yes,1,Academics
No,No,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
No,No,No,Any language,Yes,3,3,No,No,No,No,Maybe,2,Academics
Yes,Yes,No,Any language,No,4,2,Yes,No,No,Yes,No,1,Academics
No,No,Yes,History/Geography,Yes,2,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Mathematics,No,2,6,No,No,Yes,Yes,No,3,Academics
Yes,Yes,Yes,History/Geography,Yes,5,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,History/Geography,Yes,4,2,No,No,No,Yes,No,1,Academics
Yes,No,Yes,History/Geography,Yes,5,4,Yes,No,No,No,No,1,Academics
No,No,Yes,Mathematics,No,3,3,Yes,No,Yes,No,No,1,Academics
Yes,Yes,Yes,Any language,Yes,2,3,Yes,No,No,No,Maybe,2,Academics
Yes,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,2,Academics
No,No,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,No,2,Academics
No,Yes,Yes,Science,No,3,6,Yes,No,Yes,No,Maybe,2,Academics
Yes,No,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
Yes,No,Yes,Science,No,3,1,No,No,Yes,No,Yes,2,Academics
No,No,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
No,No,No,Science,Yes,3,3,Yes,No,No,No,Maybe,1,Academics
No,No,No,Any language,No,2,2,Yes,No,No,No,No,1,Academics
No,No,Yes,Science,No,4,2,Yes,No,Yes,Yes,No,1,Academics
No,No,Yes,Mathematics,No,5,6,No,No,Yes,No,No,3,Academics
No,Yes,Yes,Science,Yes,5,3,No,No,Yes,No,No,1,Academics
Yes,No,Yes,Mathematics,Yes,3,2,No,No,No,Yes,No,2,Academics
No,No,Yes,Science,Yes,4,3,No,No,Yes,Yes,No,2,Academics
No,Yes,Yes,Science,Yes,3,2,No,No,Yes,No,No,1,Academics
Yes,No,Yes,History/Geography,No,4,4,Yes,No,No,No,No,1,Academics
No,No,Yes,Science,Yes,3,3,No,No,No,No,No,1,Academics
Yes,No,Yes,Mathematics,Yes,2,3,No,No,Yes,No,Maybe,2,Academics
No,No,Yes,Any language,Yes,5,3,No,No,Yes,Yes,No,1,Academics
Yes,No,Yes,Science,No,3,4,No,No,Yes,Yes,No,2,Academics
No,No,Yes,Science,Yes,3,1,No,No,Yes,Yes,No,1,Academics
No,No,Yes,Mathematics,No,4,4,No,No,No,No,Maybe,2,Academics
Yes,No,Yes,Mathematics,No,4,2,Yes,No,Yes,No,No,1,Academics
No,No,Yes,Science,No,3,4,No,No,No,No,Maybe,1,Academics
No,Yes,No,Any language,Yes,5,2,Yes,No,Yes,Yes,No,2,Academics
Yes,No,Yes,Science,No,4,2,Yes,No,Yes,Yes,No,1,Academics
Yes,No,Yes,History/Geography,No,4,2,No,No,Yes,Yes,No,1,Academics
Yes,No,No,Science,No,3,5,No,No,No,No,Maybe,1,Academics
No,No,No,Any language,No,4,2,Yes,No,Yes,No,Yes,1,Academics
Yes,Yes,Yes,Mathematics,No,3,5,No,No,Yes,Yes,No,2,Academics
No,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,Yes,1,Academics
No,No,No,Science,No,4,3,No,No,Yes,Yes,No,3,Academics
Yes,No,Yes,Any language,Yes,5,5,Yes,Yes,Yes,No,No,1,Academics
No,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
Yes,No,No,Any language,No,2,2,Yes,No,Yes,Yes,Yes,1,Academics
No,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,2,Academics
Yes,Yes,No,History/Geography,No,4,3,No,No,No,No,Maybe,2,Academics
Yes,Yes,Yes,Any language,Yes,5,6,Yes,No,No,No,No,2,Academics
Yes,No,Yes,Mathematics,No,4,3,Yes,No,Yes,Yes,Yes,2,Academics
Yes,No,No,Any language,Yes,2,2,Yes,No,Yes,No,Yes,1,Academics
No,No,Yes,Mathematics,Yes,3,1,No,No,No,Yes,No,1,Academics
Yes,No,No,Mathematics,Yes,3,2,Yes,No,No,Yes,No,4,Academics
Yes,No,Yes,Science,No,3,1,No,No,No,Yes,No,1,Academics
Yes,Yes,No,Science,Yes,3,2,Yes,Yes,Yes,No,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,Yes,5,5,Yes,Yes,Yes,No,No,4,Academics
Yes,No,No,Mathematics,Yes,3,2,No,Yes,No,Yes,No,3,Academics
No,No,Yes,Any language,No,3,3,Yes,Yes,Yes,No,Yes,3,Academics
No,No,No,History/Geography,Yes,4,2,Yes,No,No,No,No,1,Academics
Yes,No,No,Science,Yes,5,3,No,No,No,No,Yes,2,Academics
Yes,No,No,Mathematics,No,4,2,Yes,No,Yes,Yes,No,3,Academics
Yes,No,No,Mathematics,Yes,3,1,Yes,No,No,Yes,Maybe,1,Academics
Yes,Yes,Yes,History/Geography,Yes,3,2,Yes,No,Yes,Yes,Yes,1,Academics
Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,Maybe,3,Academics
Yes,No,No,Mathematics,Yes,4,2,Yes,No,Yes,Yes,No,2,Academics
No,Yes,Yes,Mathematics,No,3,2,Yes,No,No,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,4,1,Yes,No,Yes,Yes,Yes,1,Academics
No,No,Yes,Any language,No,3,3,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,5,3,No,No,Yes,Yes,No,3,Academics
No,No,Yes,Science,Yes,4,5,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Mathematics,Yes,4,3,No,No,Yes,Yes,Yes,2,Academics
Yes,No,Yes,Mathematics,No,2,2,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,4,5,Yes,No,Yes,Yes,Maybe,1,Academics
Yes,No,Yes,Science,Yes,2,5,No,No,Yes,No,Yes,2,Academics
Yes,No,Yes,Science,Yes,3,5,No,No,No,No,No,1,Academics
Yes,No,Yes,Science,Yes,4,5,Yes,No,Yes,Yes,No,2,Academics
No,No,Yes,Mathematics,Yes,5,3,No,No,Yes,Yes,Maybe,1,Academics
Yes,Yes,Yes,Mathematics,No,3,3,Yes,No,No,Yes,No,2,Academics
No,No,Yes,Mathematics,Yes,3,1,Yes,No,Yes,Yes,Maybe,1,Academics
No,Yes,Yes,Science,Yes,3,3,Yes,No,Yes,Yes,No,3,Academics
No,No,Yes,Mathematics,Yes,4,4,Yes,No,Yes,Yes,No,1,Academics
Yes,No,Yes,Mathematics,No,2,1,No,No,No,No,No,1,Academics
No,Yes,Yes,Mathematics,No,4,3,No,No,Yes,No,No,1,Academics
No,No,Yes,Mathematics,Yes,3,4,No,No,No,No,Maybe,1,Academics
No,No,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,1,Academics
No,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,No,2,Academics
No,Yes,Yes,Any language,Yes,5,2,No,No,Yes,No,Yes,1,Academics
Yes,No,Yes,Mathematics,No,4,5,Yes,No,Yes,Yes,Yes,1,Academics
Yes,No,Yes,Any language,Yes,2,2,Yes,No,Yes,No,Yes,1,Academics
No,No,Yes,Mathematics,Yes,2,1,No,No,No,Yes,No,2,Academics
No,No,Yes,Mathematics,Yes,4,2,Yes,No,Yes,Yes,Yes,1,Academics
Yes,Yes,Yes,Mathematics,Yes,4,2,Yes,No,No,No,No,1,Academics
Yes,Yes,Yes,Science,Yes,4,1,No,No,No,Yes,No,1,Academics
Yes,No,Yes,Mathematics,Yes,4,3,Yes,No,Yes,No,Yes,2,Academics
No,Yes,Yes,Any language,Yes,5,2,Yes,No,Yes,No,Yes,1,Academics
